age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
27,GFM,"Apr 1, 1998",170,7,,15171,Netherlands,Marseille,"1,90 m","€2.00m Jun 3, 2025",Jeffrey de Lange,2,0,Goalkeeper,https://www.transfermarkt.com/jeffrey-de-lange/profil/spieler/315253,4,,,360'
29,,"Oct 9, 1995",451,34,140,26139,England,LOSC Lille,"1,83 m","€7.00m Jun 3, 2025",Chuba Akpom,5,3,Centre-Forward,https://www.transfermarkt.com/chuba-akpom/profil/spieler/197642,48,2,11,"2,225'"
20,,"Feb 3, 2005",97,6,18,6000,Spain,LOSC Lille,"1,88 m","€15.00m Jun 3, 2025",Matías Fernández-Pardo,0,0,Centre-Forward,https://www.transfermarkt.com/matias-fernandez-pardo/profil/spieler/724129,38,4,6,"1,805'"
21,,"Mar 7, 2004",42,3,1,3745,Belgium,Marseille B,"1,91 m","€50k Jun 3, 2025",Jelle Van Neck,2,0,Goalkeeper,https://www.transfermarkt.com/jelle-van-neck/profil/spieler/727086,8,,,720'
33,CAA Stellar,"May 20, 1992",398,34,,35664,Argentina,Marseille,"1,89 m","€8.00m Jun 3, 2025",Gerónimo Rulli,6,0,Goalkeeper,https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604,34,,,"3,060'"
28,AIS Football,"Mar 22, 1997",227,5,3,17014,Italy,Marseille,"1,87 m","€5.00m Jun 3, 2025",Luiz Felipe,1,0,Centre-Back,https://www.transfermarkt.com/luiz-felipe/profil/spieler/457931,6,-,-,186'
29,SEG,"Feb 11, 1996",304,30,23,24665,Panama,Marseille,"1,84 m","€10.00m Jun 3, 2025",Amir Murillo,85,9,Right-Back,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482,32,3,1,"2,616'"
29,ONEANDTEN,"Jan 11, 1996",332,45,17,22196,Switzerland,Marseille,"1,82 m","€5.00m Jun 3, 2025",Ulisses Garcia,,,Left-Back,https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616,22,3,2,995'
27,Universal Twenty Two,"Aug 13, 1997",322,33,15,22384,Spain,Marseille,"1,83 m","€4.00m Jun 3, 2025",Pol Lirola,2,0,Right-Back,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,19,2,1,675'
21,,"Nov 28, 2003",65,1,4,3811,Morocco,Marseille,"1,79 m","€5.00m Jun 3, 2025",Bilal Nadir,0,0,Central Midfield,https://www.transfermarkt.com/bilal-nadir/profil/spieler/659520,17,-,1,466'
30,,"Apr 3, 1995",487,38,57,35411,France,Marseille,"1,91 m","€25.00m Jun 3, 2025",Adrien Rabiot,53,6,Central Midfield,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913,31,6,10,"2,636'"
29,,"Aug 5, 1995",472,35,32,34626,Denmark,Marseille,"1,85 m","€20.00m Jun 3, 2025",Pierre-Emile Højbjerg,88,11,Defensive Midfield,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,32,4,3,"2,846'"
17,,"Nov 30, 2007",46,3,10,3177,France,Marseille,"1,78 m","€200k Jun 3, 2025",Darryl Bakola,3,0,Attacking Midfield,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286,15,1,2,960'
23,,"Oct 1, 2001",248,34,111,17167,England,Marseille,"1,81 m","€40.00m Jun 3, 2025",Mason Greenwood,1,0,Right Winger,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,36,6,22,"2,971'"
25,,"Feb 16, 2000",264,38,86,17895,Algeria,Marseille,"1,81 m","€30.00m Jun 3, 2025",Amine Gouiri,12,5,Centre-Forward,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,34,5,13,"2,179'"
22,Unique Sports Group,"Apr 30, 2003",148,19,39,8015,England,Marseille,"1,73 m","€12.00m Jun 3, 2025",Jonathan Rowe,7,2,Left Winger,https://www.transfermarkt.com/jonathan-rowe/profil/spieler/672381,30,4,3,846'
35,,"Jan 28, 1990",407,11,,36426,Sweden,R. Strasbourg,"1,88 m","€300k Jun 3, 2025",Karl-Johan Johnsson,9,0,Goalkeeper,https://www.transfermarkt.com/karl-johan-johnsson/profil/spieler/112822,7,,,630'
23,,"Jan 1, 2002",56,6,,4868,Morocco,R. Strasbourg,"1,89 m","€400k Jun 3, 2025",Alaa Bellaarouch,8,0,Goalkeeper,https://www.transfermarkt.com/alaa-bellaarouch/profil/spieler/667991,3,,,270'
22,Epic Sylla,"Dec 25, 2002",77,1,5,5282,d'Ivoire,R. Strasbourg,"1,88 m","€10.00m Jun 3, 2025",Abakar Sylla,0,0,Centre-Back,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555,24,-,1,"1,170'"
28,,"Aug 14, 1996",399,36,106,24294,France,Marseille,"1,71 m","€8.00m Jun 3, 2025",Neal Maupay,2,1,Centre-Forward,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115,24,4,4,"1,178'"
22,,"Jun 23, 2002",131,1,7,10261,Ireland,R. Strasbourg,"1,88 m","€8.00m Jun 3, 2025",Andrew Omobamidele,10,0,Centre-Back,https://www.transfermarkt.com/andrew-omobamidele/profil/spieler/621993,12,-,-,672'
19,,"Sep 23, 2005",73,1,7,6164,France,R. Strasbourg,"1,86 m","€700k Jun 3, 2025",Yoni Gomis,6,0,Centre-Back,https://www.transfermarkt.com/yoni-gomis/profil/spieler/988272,15,1,1,"1,324'"
22,,"Oct 17, 2002",91,6,1,6568,d'Ivoire,R. Strasbourg,"1,87 m","€18.00m Jun 3, 2025",Guéla Doué,5,1,Right-Back,https://www.transfermarkt.com/guela-doue/profil/spieler/711980,34,2,1,"2,896'"
33,,"Mar 24, 1992",274,18,6,21548,France,R. Strasbourg,"1,80 m","€600k Jun 3, 2025",Thomas Delaine,,,Left-Back,https://www.transfermarkt.com/thomas-delaine/profil/spieler/170961,2,-,-,8'
25,Unique Sports Group,"Oct 8, 1999",197,12,,17706,Serbia,R. Strasbourg,"1,94 m","€20.00m Jun 3, 2025",Djordje Petrovic,7,0,Goalkeeper,https://www.transfermarkt.com/djordje-petrovic/profil/spieler/465555,31,,,"2,790'"
30,ProStar,"Apr 20, 1995",341,27,10,22625,Ukraine,R. Strasbourg,"1,86 m","€900k Jun 3, 2025",Eduard Sobol,29,0,Left-Back,https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717,13,1,-,336'
20,,"Jul 23, 2004",69,7,1,4780,Argentina,R. Strasbourg,"1,70 m","€12.00m Jun 3, 2025",Valentín Barco,1,0,Central Midfield,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410,24,3,-,"1,665'"
