age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
35,,"Mar 9, 1990",548,32,37,44786,Germany,SC Freiburg,"1,81 m","€500k Jun 5, 2025",Nicolas Höfler,2,0,Defensive Midfield,https://www.transfermarkt.com/nicolas-hofler/profil/spieler/55099,23,1,-,907'
29,Alfaria sports GmbH,"Mar 8, 1996",227,47,67,16831,Ghana,SC Freiburg,"1,79 m","€800k Jun 5, 2025",Daniel-Kofi Kyereh,18,0,Attacking Midfield,https://www.transfermarkt.com/daniel-kofi-kyereh/profil/spieler/272587,,,,
26,CAA Stellar,"Jan 4, 1999",285,70,40,21163,Germany,SC Freiburg,"1,75 m","€7.00m Jun 5, 2025",Niklas Beste,,,Left Winger,https://www.transfermarkt.com/niklas-beste/profil/spieler/342967,34,3,2,"1,015'"
22,,"Jul 5, 2002",170,13,10,11107,Germany,SC Freiburg,"1,92 m","€12.00m Jun 5, 2025",Merlin Röhl,10,2,Attacking Midfield,https://www.transfermarkt.com/merlin-rohl/profil/spieler/608832,,,,
32,ROOF,"Apr 7, 1993",437,116,118,31842,Italy,SC Freiburg,"1,80 m","€6.00m Jun 5, 2025",Vincenzo Grifo,9,4,Left Winger,https://www.transfermarkt.com/vincenzo-grifo/profil/spieler/185077,37,12,10,"2,674'"
23,,"Dec 13, 2001",142,26,45,8080,Türkiye,SC Freiburg,"1,88 m","€8.00m Jun 5, 2025",Eren Dinkçi,0,0,Right Winger,https://www.transfermarkt.com/eren-dinkci/profil/spieler/645774,25,4,-,"1,329'"
26,,"Jul 6, 1998",292,33,54,16990,Kosovo,SC Freiburg,"1,72 m","€1.80m Jun 5, 2025",Florent Muslija,28,1,Left Winger,https://www.transfermarkt.com/florent-muslija/profil/spieler/337036,13,1,1,379'
31,Unique Sports Group,"Mar 1, 1994",373,58,100,22322,Germany,SC Freiburg,"1,83 m","€800k Jun 5, 2025",Maximilian Philipp,10,0,Second Striker,https://www.transfermarkt.com/maximilian-philipp/profil/spieler/143891,3,-,-,93'
27,CAA Stellar,"Jun 16, 1998",335,47,74,24470,Japan,SC Freiburg,"1,72 m","€25.00m Jun 5, 2025",Ritsu Doan,,,Right Winger,https://www.transfermarkt.com/ritsu-doan/profil/spieler/358504,36,9,10,"3,034'"
24,Sports360 GmbH,"Jun 6, 2001",253,28,95,14446,Austria,SC Freiburg,"1,83 m","€5.00m Jun 5, 2025",Junior Adamu,9,0,Centre-Forward,https://www.transfermarkt.com/junior-adamu/profil/spieler/452477,27,2,4,"1,666'"
30,Unique Sports Group,"Jul 10, 1994",422,49,93,27984,Germany,SC Freiburg,"1,84 m","€3.00m Jun 5, 2025",Lucas Höler,,,Centre-Forward,https://www.transfermarkt.com/lucas-holer/profil/spieler/248999,34,3,7,"2,044'"
30,,"Oct 28, 1994",285,16,,25662,Germany,1.FSV Mainz 05,"1,95 m","€4.00m Jun 5, 2025",Robin Zentner,1,0,Goalkeeper,https://www.transfermarkt.com/robin-zentner/profil/spieler/160963,34,,,"3,090'"
